id,budget,original_title,popularity,release_date,revenue,runtime,vote_average,vote_count,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western
2,0,Ariel,8.165,1988-10-21,0,73,6.8,157,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
3,0,Varjoja paratiisissa,8.509,1986-10-17,0,74,7.2,158,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5,4000000,Four Rooms,14.441,1995-12-09,4257354,98,5.7,2127,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,21000000,Judgment Night,13.336,1993-10-15,12136938,110,6.5,230,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,42000,Life in Loops (A Megacities RMX),2.352,2006-01-01,0,80,7.5,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0,Sonntag im August,1.561,2004-09-02,0,15,7.3,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11,11000000,Star Wars,92.536,1977-05-25,775398007,121,8.2,16995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
12,94000000,Finding Nemo,127.461,2003-05-30,940335536,100,7.8,16149,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13,55000000,Forrest Gump,63.964,1994-07-06,677387716,142,8.5,22384,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
14,15000000,American Beauty,32.371,1999-09-15,356296601,122,8.0,10080,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15,839727,Citizen Kane,22.554,1941-04-17,23218000,119,8.0,4331,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
16,12800000,Dancer in the Dark,17.395,2000-06-30,40031879,141,7.9,1366,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
17,0,The Dark,7.858,2005-09-28,0,87,5.8,206,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
18,90000000,The Fifth Element,48.146,1997-05-02,263920180,126,7.5,8838,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0
19,1300000,Metropolis,16.308,1927-02-06,650422,149,8.2,2009,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
20,2500000,My Life Without Me,13.604,2003-03-07,12300000,106,5.8,364,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
21,0,The Endless Summer,7.13,1966-06-15,0,91,7.4,79,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
22,140000000,Pirates of the Caribbean: The Curse of the Black Pearl,156.249,2003-07-09,655011224,143,7.8,17137,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
24,30000000,Kill Bill: Vol. 1,62.46,2003-10-10,180899265,111,8.0,14406,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,72000000,Jarhead,27.099,2005-11-04,97076152,123,6.6,2241,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
26,1400000,LaLehet Al HaMayim,4.866,2004-02-05,444,103,6.9,62,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
27,1000000,9 Songs,31.848,2004-05-16,1574623,70,5.6,367,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
28,31500000,Apocalypse Now,31.503,1979-08-15,150000000,147,8.3,6406,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
33,14400000,Unforgiven,24.154,1992-08-07,159157447,130,7.9,3333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,75000000,The Simpsons Movie,133.724,2007-07-25,527068851,87,7.0,6666,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
38,20000000,Eternal Sunshine of the Spotless Mind,53.384,2004-03-19,72258126,108,8.1,12088,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0
55,2000000,Amores perros,27.577,2000-06-16,20908467,154,7.6,1964,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
58,200000000,Pirates of the Caribbean: Dead Man's Chest,158.163,2006-07-06,1065659812,151,7.3,13176,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
59,32000000,A History of Violence,17.699,2005-09-23,60740827,96,7.2,2454,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
62,12000000,2001: A Space Odyssey,39.041,1968-04-02,71923560,149,8.1,9194,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
63,29000000,Twelve Monkeys,26.698,1995-12-29,168841459,129,7.6,6745,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0
64,0,Hable con ella,20.274,2002-03-15,51001550,112,7.6,974,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
65,41000000,8 Mile,51.35,2002-11-08,242875078,111,7.1,5786,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
66,50000000,Absolute Power,15.45,1997-02-14,50068310,121,6.6,783,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67,2000000,Paradise Now,9.241,2005-09-07,3395627,90,7.0,183,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
68,15000000,Brazil,17.689,1985-02-20,0,143,7.7,2610,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
69,28000000,Walk the Line,19.588,2005-09-13,186797986,136,7.5,2281,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0
70,30000000,Million Dollar Baby,27.245,2004-12-15,216763646,132,8.0,7812,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
71,5000000,Billy Elliot,18.648,2000-09-28,109280263,110,7.6,3161,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
73,20000000,American History X,40.506,1998-07-01,23875127,119,8.4,9429,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
74,132000000,War of the Worlds,40.457,2005-06-28,603873119,117,6.5,6763,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
75,70000000,Mars Attacks!,29.994,1996-12-12,101371017,106,6.4,4419,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
76,2500000,Before Sunrise,21.968,1995-01-27,5987386,101,8.0,3098,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
